Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-06-04,ABCL,6.37,10260799,67.40,85.26,3.75,6.64,3.94,6.79,-14.74,12,,235.51,SELL,0.50,7.13,4.86,7.13,6.12,0.50,0.29,0.21,5.20,5.33,4.38,4.21,1.10,uptrend,0.00
2026-06-04,BE,291.37,6608586,55.93,61.20,253.90,315.34,241.75,322.83,-38.80,12,HeadAndShoulders,37.00,HOLD,23.49,256.13,361.84,256.13,303.12,4.50,10.07,-5.57,284.62,281.35,234.69,143.08,0.65,uptrend,0.00
2026-06-04,BMNR,17.89,49767113,39.11,26.18,16.51,23.02,16.67,23.36,-73.82,12,,221.59,HOLD,1.22,16.06,21.55,16.06,18.50,-1.59,-1.30,-0.28,19.76,19.41,20.69,32.35,1.38,downtrend,0.00
2026-06-04,CIEN,535.63,7588956,46.63,30.44,519.30,625.61,491.05,637.51,-69.56,12,DoubleBottom,246.55,HOLD,42.54,471.82,663.25,471.82,556.90,16.23,21.23,-5.00,572.45,567.61,516.02,292.21,3.13,uptrend,0.00
2026-06-04,DLO,11.77,2471446,43.77,65.39,10.68,13.57,10.64,14.20,-34.61,12,,130.99,HOLD,0.56,10.93,13.45,10.93,12.05,-0.69,-0.82,0.14,12.13,12.11,12.80,13.52,0.81,downtrend,0.00
2026-06-04,DNA,9.05,4160830,55.44,56.85,7.11,10.08,7.10,10.64,-43.15,12,DoubleTop,77.50,HOLD,0.80,7.85,11.46,7.85,9.45,-0.07,-0.23,0.16,8.59,8.68,7.99,9.57,2.93,downtrend,0.00
2026-06-04,GEV,963.33,2177824,41.19,23.45,939.79,1107.60,923.00,1115.83,-76.55,12,DoubleTop,174.53,HOLD,43.67,897.83,1094.34,897.83,985.16,-34.99,-27.72,-7.28,1023.69,1009.78,1007.42,755.01,0.92,uptrend,0.00
2026-06-04,GLW,197.70,11036274,57.86,71.96,171.12,211.81,169.80,211.79,-28.04,12,DoubleBottom|DoubleTop,110.00,HOLD,12.99,178.22,236.67,178.22,204.19,4.20,9.21,-5.01,191.47,187.43,171.89,114.91,0.75,uptrend,0.00
2026-06-04,GOOGL,372.19,42891063,48.65,27.92,363.26,410.43,358.08,408.61,-72.08,12,,178.91,HOLD,10.19,356.91,402.75,356.91,377.28,-5.26,7.30,-12.56,386.85,377.47,352.95,303.21,1.40,uptrend,0.00
2026-06-04,INTC,111.78,76359899,55.31,38.70,104.09,128.76,102.40,132.75,-61.30,12,DoubleBottom,200.35,HOLD,8.07,99.68,135.99,99.68,115.81,3.04,9.43,-6.40,116.42,110.77,87.72,50.90,0.58,uptrend,0.00
2026-06-04,IONQ,65.66,37908319,61.27,71.61,43.45,75.84,45.51,73.65,-28.39,12,,125.00,HOLD,5.17,57.91,81.17,57.91,68.24,7.46,6.09,1.37,59.65,60.63,46.66,48.40,1.09,uptrend,0.00
2026-06-04,OPEN,4.95,26429695,51.11,53.69,4.08,5.45,4.15,5.64,-46.31,12,DoubleTop,58.75,HOLD,0.38,4.37,6.10,4.37,5.14,-0.10,-0.32,0.23,4.76,4.90,4.90,6.10,0.68,downtrend,0.00
2026-06-04,PLTR,141.70,40483209,49.81,32.04,124.06,155.25,128.75,163.70,-67.96,12,,158.17,HOLD,7.17,130.95,163.21,130.95,145.28,3.09,-0.70,3.79,139.65,142.33,141.29,161.18,0.97,downtrend,0.00
2026-06-04,POET,15.48,31709543,59.35,45.32,9.89,18.24,9.03,20.81,-54.68,12,,110.00,HOLD,2.06,12.39,21.65,12.39,16.50,1.37,2.29,-0.92,14.06,13.41,10.18,7.22,0.55,uptrend,0.00
2026-06-04,TSLA,418.45,34237925,51.05,47.76,402.58,451.24,393.63,453.40,-52.24,12,DoubleTop,75.00,HOLD,14.79,396.27,462.82,396.27,425.84,7.05,15.35,-8.30,426.91,420.22,395.19,413.83,0.69,uptrend,0.00
2026-06-04,UPST,32.27,4207959,55.68,69.44,26.04,33.89,26.22,34.69,-30.56,12,,125.00,HOLD,1.99,29.29,38.23,29.29,33.26,0.66,-0.74,1.40,29.97,30.85,29.84,42.03,0.87,downtrend,0.00
