Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-06-08,ABCL,5.42,4771105,53.18,51.93,3.80,6.69,3.94,6.79,-48.07,8,,125.00,HOLD,0.54,4.61,7.03,4.61,5.69,0.58,0.36,0.22,5.25,5.36,4.47,4.22,0.53,uptrend,0.00
2026-06-08,BE,253.57,8595077,44.65,14.58,253.21,315.78,241.75,322.83,-85.42,8,DoubleTop,272.51,HOLD,24.05,217.49,325.72,217.49,265.60,4.38,7.85,-3.47,284.50,277.18,239.36,145.23,0.87,uptrend,0.00
2026-06-08,BMNR,16.85,38364553,37.78,28.09,15.76,22.63,15.60,23.36,-71.91,8,,230.27,HOLD,1.30,14.90,20.76,14.90,17.50,-1.67,-1.47,-0.20,19.19,18.87,20.53,32.00,1.01,downtrend,0.00
2026-06-08,CIEN,466.67,5631327,37.83,4.94,488.63,643.08,457.79,637.51,-95.06,8,,374.73,HOLD,42.20,403.36,593.28,403.36,487.77,6.27,17.37,-11.10,565.86,551.15,518.60,296.11,2.11,uptrend,0.00
2026-06-08,DLO,11.49,1768447,42.09,28.50,10.85,12.92,10.64,13.68,-71.50,8,,189.35,HOLD,0.56,10.65,13.17,10.65,11.77,-0.60,-0.80,0.21,11.89,11.98,12.75,13.49,0.56,downtrend,0.00
2026-06-08,DNA,8.09,820937,45.59,28.86,7.19,9.70,7.10,10.53,-71.14,8,,168.91,HOLD,0.80,6.89,10.49,6.89,8.49,0.02,-0.18,0.20,8.44,8.58,8.04,9.53,0.62,downtrend,0.00
2026-06-08,GEV,933.85,1837166,37.24,7.14,914.54,1111.01,921.46,1095.00,-92.86,8,DoubleTop,284.21,HOLD,41.91,870.99,1059.58,870.99,954.80,-38.33,-32.05,-6.28,1012.78,995.99,1008.84,758.31,0.77,uptrend,0.00
2026-06-08,GLW,187.54,11995298,51.79,45.76,170.40,212.11,169.80,211.79,-54.24,8,DoubleBottom|DoubleTop,91.47,HOLD,13.85,166.77,229.08,166.77,194.46,3.04,6.70,-3.66,191.26,186.59,173.56,116.09,0.85,uptrend,0.00
2026-06-08,GOOGL,363.31,27883598,43.37,13.39,358.49,408.51,358.08,408.61,-86.61,8,,334.06,HOLD,9.89,348.48,392.98,348.48,368.25,-8.88,1.64,-10.52,383.50,375.35,356.15,304.86,0.88,uptrend,0.00
2026-06-08,INTC,110.27,136446915,53.04,42.18,101.41,128.93,98.33,132.75,-57.82,8,,113.20,HOLD,8.81,97.06,136.69,97.06,114.67,0.57,5.97,-5.40,115.17,109.72,90.09,51.71,1.06,uptrend,0.00
2026-06-08,IONQ,62.80,28472632,55.48,61.44,46.27,75.29,45.51,73.65,-38.56,8,,125.00,HOLD,5.69,54.27,79.87,54.27,65.64,7.77,6.75,1.02,60.78,60.51,47.81,48.63,0.82,uptrend,0.00
2026-06-08,OPEN,4.31,22508357,39.52,10.74,4.03,5.34,4.15,5.64,-89.26,8,,324.92,HOLD,0.39,3.73,5.47,3.73,4.50,-0.01,-0.23,0.23,4.68,4.80,4.88,6.11,0.61,downtrend,0.00
2026-06-08,PLTR,136.47,26896104,45.69,15.09,123.81,155.21,128.75,163.70,-84.91,8,,264.98,HOLD,6.89,126.14,157.13,126.14,139.91,3.25,0.82,2.43,139.51,141.19,140.68,160.98,0.67,downtrend,0.00
2026-06-08,POET,12.28,27326234,48.71,17.57,10.65,17.84,11.50,20.81,-82.43,8,DoubleBottom,338.01,HOLD,2.11,9.11,18.62,9.11,13.34,0.66,1.88,-1.21,14.24,13.17,10.44,7.29,0.49,uptrend,0.00
2026-06-08,TSLA,408.95,50178344,48.02,35.71,395.71,454.09,388.59,453.40,-64.29,8,DoubleBottom|DoubleTop|HeadAndShoulders,75.00,HOLD,16.71,383.88,459.09,383.88,417.31,3.52,11.50,-7.98,424.90,416.63,396.03,414.57,1.02,downtrend,0.00
2026-06-08,UPST,31.00,3936105,51.20,53.41,26.21,34.00,26.22,34.69,-46.59,8,,125.00,HOLD,2.04,27.94,37.13,27.94,32.02,1.03,-0.08,1.11,30.11,30.77,30.03,41.71,0.84,downtrend,0.00
